               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11575,            0.021798,            0.045188,             0.08559,            0.047819,            0.031891,            0.009251,            0.069338,            0.012259,            0.035799,             0.00026,             0.00026,             0.09766
                   1,            0.090533,            0.027003,            0.045496,             0.13933,             0.36503,             0.11645,            0.036556,            0.043677,             0.01273,            0.034176,          0.00052999,          0.00052999,             0.09523
                   2,            0.063857,            0.028167,            0.041773,             0.26689,             0.33958,             0.26782,             0.11057,            0.036767,            0.011615,            0.029497,          0.00079992,          0.00079992,              0.0928
                   3,            0.054308,            0.025479,            0.041165,             0.32136,             0.44658,             0.34835,             0.15323,            0.030178,            0.010102,            0.028323,           0.0010698,           0.0010698,             0.09037
                   4,            0.049957,            0.022267,            0.038176,             0.45211,             0.42271,               0.475,             0.26322,            0.027377,           0.0086536,            0.027216,           0.0013395,           0.0013395,            0.087939
                   5,            0.042879,             0.02026,            0.034894,             0.45189,             0.63453,             0.61177,             0.39401,            0.026967,           0.0075754,            0.023434,            0.001609,            0.001609,            0.085509
                   6,            0.048782,            0.019092,            0.030944,             0.62137,             0.65172,             0.67091,             0.39789,            0.033601,           0.0069773,            0.018329,           0.0018783,           0.0018783,            0.083078
                   7,             0.04622,            0.019013,            0.026227,             0.50463,             0.84418,             0.69753,             0.45458,            0.027363,           0.0068076,            0.014006,           0.0021474,           0.0021474,            0.080647
                   8,            0.045763,            0.017339,            0.022305,             0.53494,             0.77185,             0.69777,             0.40907,            0.027152,           0.0063027,            0.009538,           0.0024162,           0.0024162,            0.078216
                   9,             0.04645,             0.01719,            0.017196,             0.58587,              0.6816,             0.66881,             0.37425,            0.029324,            0.005857,           0.0076946,           0.0026846,           0.0026846,            0.075785
                  10,            0.043607,            0.016299,            0.015361,             0.57693,             0.88056,             0.74504,             0.46154,            0.034802,           0.0052578,             0.00553,           0.0029527,           0.0029527,            0.073353
                  11,            0.045717,            0.015937,            0.011712,             0.66809,             0.91915,             0.82333,             0.57369,            0.024794,           0.0050566,            0.004344,           0.0032204,           0.0032204,             0.07092
                  12,            0.047855,             0.01556,            0.011419,             0.72575,             0.90052,             0.82142,             0.45945,            0.028076,           0.0049687,           0.0039702,           0.0034876,           0.0034876,            0.068488
                  13,            0.046351,            0.015463,            0.012043,             0.85561,             0.91008,             0.89086,             0.63437,            0.024609,           0.0051668,            0.004016,           0.0037543,           0.0037543,            0.066054
                  14,            0.042472,            0.015334,            0.011504,             0.85029,             0.94558,             0.89853,             0.67029,            0.023303,           0.0047866,           0.0038318,           0.0040205,           0.0040205,             0.06362
                  15,            0.041747,            0.015122,           0.0087751,             0.61591,             0.74271,             0.75058,             0.54934,            0.033099,           0.0043677,           0.0030686,           0.0042861,           0.0042861,            0.061186
                  16,            0.042392,            0.014663,            0.011217,             0.74198,             0.95235,             0.86812,             0.64513,            0.028362,            0.004337,           0.0032396,           0.0045511,           0.0045511,            0.058751
                  17,            0.038937,            0.014766,            0.010284,             0.82354,             0.91788,             0.87222,             0.56961,            0.022613,           0.0043092,           0.0023486,           0.0048155,           0.0048155,            0.056316
                  18,             0.04038,             0.01445,           0.0079012,             0.77409,             0.84402,             0.87788,             0.57764,            0.028086,           0.0042399,           0.0025021,           0.0050792,           0.0050792,            0.053879
                  19,            0.041873,            0.014181,           0.0086531,             0.83541,             0.97671,             0.96239,              0.6903,            0.022828,           0.0043882,           0.0038878,           0.0053421,           0.0053421,            0.051442
                  20,            0.043296,            0.013992,           0.0078648,             0.73107,             0.94679,             0.88576,             0.62908,            0.027752,           0.0042079,            0.002989,           0.0056043,           0.0056043,            0.049004
