               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10264,             0.02361,            0.041781,            0.071505,            0.093901,            0.028299,           0.0081001,            0.060532,            0.014005,            0.036806,              0.0003,              0.0003,              0.0973
                   1,            0.085965,            0.028169,            0.041825,             0.12241,             0.27238,             0.09765,            0.031412,            0.043902,            0.013338,            0.036041,          0.00060998,          0.00060998,             0.09451
                   2,            0.055705,            0.027934,            0.036365,             0.28254,             0.31016,             0.28026,             0.12628,            0.035785,            0.011702,            0.032019,          0.00091991,          0.00091991,             0.09172
                   3,              0.0482,            0.024287,            0.039496,             0.44824,             0.41181,             0.37845,             0.18405,            0.030866,            0.010087,            0.030239,           0.0012297,           0.0012297,             0.08893
                   4,            0.046444,            0.021762,             0.03461,              0.3215,             0.48247,             0.38677,             0.18001,            0.035992,           0.0082849,            0.028635,           0.0015394,           0.0015394,            0.086139
                   5,            0.045522,            0.019912,            0.032592,             0.42155,              0.6078,             0.57166,             0.32165,             0.03106,           0.0074261,            0.022891,           0.0018489,           0.0018489,            0.083349
                   6,            0.051206,            0.019994,            0.029942,             0.47624,             0.69826,             0.65383,             0.41384,            0.032006,           0.0068423,            0.016729,           0.0021581,           0.0021581,            0.080558
                   7,             0.04543,            0.018193,            0.024222,             0.54624,             0.86128,             0.74225,             0.48721,            0.026427,           0.0062371,            0.012412,            0.002467,            0.002467,            0.077767
                   8,            0.043389,            0.017353,            0.020704,              0.5955,             0.73191,             0.70846,             0.45235,            0.025446,           0.0061754,            0.012975,           0.0027756,           0.0027756,            0.074976
                   9,            0.043779,            0.016851,            0.017357,             0.63065,              0.7775,             0.76516,             0.52063,            0.028209,           0.0054919,            0.014007,           0.0030838,           0.0030838,            0.072184
                  10,            0.044208,            0.016166,            0.015443,             0.79399,             0.84375,             0.86584,              0.5145,            0.029294,           0.0053297,           0.0061652,           0.0033916,           0.0033916,            0.069392
                  11,            0.042179,            0.015848,            0.011511,             0.84974,             0.92209,             0.88415,             0.63944,             0.02356,           0.0050733,           0.0051006,           0.0036989,           0.0036989,            0.066599
                  12,            0.043338,            0.015151,            0.010374,             0.78581,             0.93765,             0.85448,             0.57225,            0.024739,           0.0046966,           0.0042736,           0.0040057,           0.0040057,            0.063806
                  13,             0.04746,            0.015572,           0.0099639,             0.70861,             0.84789,             0.79068,             0.52566,            0.027927,            0.005116,           0.0063801,            0.004312,            0.004312,            0.061012
                  14,            0.042072,            0.015538,            0.010152,             0.77756,             0.89973,              0.8791,             0.65677,            0.024838,           0.0044892,           0.0051939,           0.0046176,           0.0046176,            0.058218
                  15,            0.041829,            0.015062,            0.010816,             0.82414,              0.9332,             0.91283,             0.67967,            0.022065,           0.0044256,           0.0033766,           0.0049226,           0.0049226,            0.055423
                  16,            0.041286,            0.014287,            0.011686,              0.7952,             0.89133,             0.84659,              0.5888,            0.026391,           0.0048631,           0.0032044,           0.0052269,           0.0052269,            0.052627
                  17,            0.042615,            0.015657,            0.012437,             0.72116,              0.8868,             0.82674,              0.5794,            0.023583,           0.0045513,           0.0040334,           0.0055304,           0.0055304,             0.04983
                  18,            0.039858,            0.015311,            0.010865,             0.85734,             0.91233,             0.94325,             0.63121,            0.025451,           0.0044068,           0.0067789,           0.0058331,           0.0058331,            0.047033
                  19,            0.040438,            0.015039,           0.0094771,             0.80457,             0.88941,             0.91455,             0.66274,            0.025303,           0.0047121,           0.0042535,            0.006135,            0.006135,            0.044235
                  20,            0.038661,            0.014592,           0.0079788,             0.91482,             0.93051,             0.93963,             0.69376,            0.023474,            0.004342,           0.0034445,           0.0064361,           0.0064361,            0.041436
                  21,            0.037116,            0.014024,           0.0084966,             0.84906,             0.88698,             0.92876,             0.61672,             0.02884,           0.0043832,           0.0060267,           0.0067362,           0.0067362,            0.038636
                  22,            0.040378,            0.014353,           0.0089839,             0.72091,             0.86427,             0.82085,              0.5221,            0.033133,           0.0046232,           0.0039357,           0.0070353,           0.0070353,            0.035835
                  23,            0.043464,            0.014938,            0.011457,             0.84868,             0.89643,             0.90655,              0.6393,            0.031541,           0.0044739,           0.0037445,           0.0073335,           0.0073335,            0.033033
                  24,            0.042084,            0.015181,             0.01495,             0.78157,             0.87838,             0.89499,             0.62882,            0.023581,           0.0048192,           0.0070244,           0.0076306,           0.0076306,            0.030231
