               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12069,            0.021396,            0.034268,             0.19142,             0.15539,            0.058453,            0.025258,             0.11351,            0.012136,              0.0346,               6e-05,               6e-05,             0.09946
                   1,              0.1111,             0.02047,            0.030894,             0.22594,             0.15625,            0.061762,            0.022264,            0.099354,            0.012374,            0.030177,          0.00012999,          0.00012999,             0.09883
                   2,              0.1028,            0.022372,            0.027176,             0.35701,               0.125,            0.088947,            0.018701,            0.094023,            0.012478,            0.025511,          0.00019996,          0.00019996,              0.0982
                   3,            0.098209,            0.022672,            0.025976,             0.10297,                0.25,            0.062718,            0.016364,            0.088757,            0.012524,            0.021577,          0.00026987,          0.00026987,             0.09757
                   4,             0.08118,            0.025725,            0.021275,             0.10537,             0.40625,            0.081836,            0.025594,            0.081491,            0.012747,            0.018723,           0.0003397,           0.0003397,             0.09694
                   5,            0.077304,            0.025848,            0.018999,               0.217,             0.42449,             0.20912,             0.03649,            0.074349,            0.012359,            0.015982,          0.00040943,          0.00040943,            0.096309
                   6,            0.083492,            0.027029,            0.019612,             0.47585,             0.34057,              0.3266,             0.08814,            0.068292,            0.012495,            0.013597,          0.00047904,          0.00047904,            0.095679
                   7,            0.077484,            0.025309,            0.015532,             0.54104,             0.33193,             0.38956,             0.13292,            0.063871,            0.012422,            0.011466,          0.00054851,          0.00054851,            0.095049
                   8,            0.069345,            0.027614,            0.013479,             0.51688,             0.53125,             0.52502,             0.20404,            0.060239,            0.012182,           0.0094301,           0.0006178,           0.0006178,            0.094418
                   9,            0.068599,             0.02806,            0.012404,             0.76115,             0.49801,             0.62906,             0.29355,            0.057829,             0.01186,           0.0076453,           0.0006869,           0.0006869,            0.093787
                  10,            0.058066,            0.025053,           0.0094987,              0.6797,             0.53125,              0.6653,             0.28635,            0.055939,             0.01152,           0.0062865,          0.00075579,          0.00075579,            0.093156
                  11,            0.058366,            0.027655,           0.0077504,             0.76923,             0.62499,             0.72863,             0.36815,            0.050776,            0.011151,           0.0050527,          0.00082444,          0.00082444,            0.092524
                  12,            0.054222,            0.025781,           0.0075746,              0.6759,             0.71695,             0.74166,             0.35145,            0.050102,            0.010826,           0.0042499,          0.00089283,          0.00089283,            0.091893
                  13,            0.047023,            0.021554,           0.0061073,              0.6856,                0.75,             0.76282,             0.38925,            0.049192,            0.010334,           0.0034497,          0.00096093,          0.00096093,            0.091261
                  14,             0.05797,            0.023264,           0.0065436,             0.74934,                0.75,              0.8098,             0.41217,            0.042023,            0.009981,           0.0029303,           0.0010287,           0.0010287,            0.090629
                  15,            0.050253,            0.024245,           0.0047281,             0.61192,             0.93626,             0.77188,             0.43415,            0.037823,           0.0096314,           0.0024165,           0.0010962,           0.0010962,            0.089996
                  16,            0.053515,            0.023922,           0.0051719,             0.90898,             0.62421,             0.84592,             0.46611,             0.03614,           0.0089621,           0.0021763,           0.0011633,           0.0011633,            0.089363
                  17,            0.049085,            0.022754,           0.0038252,             0.65216,             0.93745,             0.85167,             0.55215,            0.035203,           0.0086674,           0.0018594,           0.0012301,           0.0012301,             0.08873
                  18,            0.047674,            0.021144,           0.0029503,             0.79905,                   1,              0.9377,              0.5646,            0.033716,           0.0082376,           0.0016864,           0.0012964,           0.0012964,            0.088096
                  19,            0.043827,            0.021398,           0.0025741,             0.60409,             0.90598,             0.83399,             0.45724,            0.039084,             0.00804,           0.0014832,           0.0013623,           0.0013623,            0.087462
                  20,            0.047143,            0.021973,            0.002731,             0.79426,               0.875,             0.92139,             0.62589,            0.034922,           0.0077606,           0.0013574,           0.0014278,           0.0014278,            0.086828
                  21,            0.041005,            0.018466,           0.0018978,             0.88203,              0.9375,             0.96757,             0.59817,            0.033481,           0.0074412,           0.0012708,           0.0014929,           0.0014929,            0.086193
