               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094349,            0.032223,             0.02731,            0.026096,              0.1875,            0.013862,           0.0031032,            0.059283,            0.023026,            0.017648,               7e-05,               7e-05,             0.09937
                   1,            0.092139,            0.030053,            0.027356,            0.060915,             0.12367,            0.020602,           0.0039903,            0.056944,            0.021284,            0.016826,          0.00014999,          0.00014999,             0.09865
                   2,            0.080573,            0.030167,            0.022466,            0.039982,               0.375,            0.031159,           0.0063995,            0.053209,            0.019262,             0.01513,          0.00022995,          0.00022995,             0.09793
                   3,            0.082675,            0.030585,            0.024107,             0.13721,             0.21875,              0.1102,              0.0291,            0.047097,            0.017699,            0.013239,          0.00030985,          0.00030985,             0.09721
                   4,            0.063267,            0.029269,            0.017409,             0.36423,             0.21875,              0.1795,            0.042432,            0.041531,            0.016891,            0.011004,          0.00038965,          0.00038965,             0.09649
                   5,            0.065775,            0.028641,            0.017706,             0.22135,              0.4375,             0.14946,              0.0374,            0.036376,            0.016488,           0.0089597,          0.00046935,          0.00046935,            0.095769
                   6,            0.068395,            0.029533,            0.016743,             0.26908,             0.40625,             0.23763,            0.050786,            0.032305,            0.016045,           0.0079622,           0.0005489,           0.0005489,            0.095049
                   7,             0.06222,            0.030126,            0.012686,              0.3292,             0.53125,             0.32152,            0.096888,            0.030239,            0.015419,           0.0062996,          0.00062829,          0.00062829,            0.094328
                   8,             0.05345,            0.029909,           0.0093366,              0.4972,             0.65625,             0.54854,             0.25598,            0.026722,            0.014463,            0.004742,          0.00070748,          0.00070748,            0.093607
                   9,            0.046826,            0.029467,           0.0092067,             0.59793,             0.65625,             0.64813,             0.29675,             0.02588,            0.013285,           0.0039308,          0.00078645,          0.00078645,            0.092886
                  10,            0.052056,            0.025355,           0.0077639,             0.60202,               0.625,             0.69958,             0.31657,            0.023568,            0.012676,           0.0030864,          0.00086518,          0.00086518,            0.092165
                  11,            0.042366,            0.025812,           0.0072049,             0.59984,              0.7495,             0.73032,             0.33036,            0.021505,            0.012092,           0.0024422,          0.00094363,          0.00094363,            0.091444
                  12,            0.046273,            0.025083,           0.0055788,             0.65687,             0.77779,              0.7297,             0.31471,            0.020125,            0.011135,           0.0018923,           0.0010218,           0.0010218,            0.090722
                  13,            0.038509,            0.023988,           0.0038288,             0.62884,             0.74141,             0.67558,             0.33324,              0.0189,            0.010384,           0.0017146,           0.0010996,           0.0010996,                0.09
                  14,             0.04031,            0.023485,           0.0049365,             0.70586,             0.74991,             0.81099,             0.47346,            0.018161,           0.0099874,           0.0014049,           0.0011771,           0.0011771,            0.089277
                  15,            0.033947,            0.020703,            0.002871,             0.65821,             0.84375,             0.72395,             0.39333,            0.018783,           0.0093623,           0.0012354,           0.0012542,           0.0012542,            0.088554
                  16,            0.039083,            0.022345,           0.0031473,              0.7021,              0.8125,              0.8114,             0.50429,            0.018926,           0.0089327,           0.0011618,           0.0013309,           0.0013309,            0.087831
                  17,            0.037614,            0.021892,            0.002176,             0.47387,               0.875,             0.58737,              0.3655,            0.020565,            0.008361,           0.0010191,           0.0014072,           0.0014072,            0.087107
                  18,            0.040376,            0.020203,           0.0035466,             0.77392,             0.74886,             0.82851,              0.3495,            0.020581,           0.0074565,           0.0009231,            0.001483,            0.001483,            0.086383
                  19,            0.040814,            0.019433,           0.0022911,               0.691,             0.84375,             0.81754,             0.46532,            0.019533,           0.0073031,          0.00095398,           0.0015584,           0.0015584,            0.085658
                  20,            0.038617,            0.018263,           0.0018436,             0.87448,             0.65625,             0.81881,              0.4308,            0.019988,           0.0074785,          0.00097254,           0.0016332,           0.0016332,            0.084933
                  21,            0.041098,            0.017496,           0.0017949,              0.9166,             0.68692,             0.88115,             0.54326,            0.020948,           0.0070023,          0.00081725,           0.0017075,           0.0017075,            0.084208
