               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11565,            0.021754,            0.034009,            0.079539,             0.16667,            0.047444,            0.013005,            0.065147,            0.011899,            0.027237,               6e-05,               6e-05,             0.09946
                   1,             0.11145,            0.019565,            0.032707,            0.047424,             0.36667,            0.038296,            0.014217,            0.061648,            0.011721,            0.024749,          0.00012999,          0.00012999,             0.09883
                   2,             0.10526,            0.022308,            0.029676,            0.054397,             0.43333,            0.041774,             0.01274,            0.057431,            0.011613,            0.022344,          0.00019996,          0.00019996,              0.0982
                   3,             0.10454,            0.024465,            0.028631,            0.069723,             0.45972,            0.052943,            0.011197,            0.053295,            0.011599,            0.019902,          0.00026987,          0.00026987,             0.09757
                   4,            0.092652,            0.023956,            0.025749,             0.12059,                 0.2,            0.069687,            0.016247,            0.049669,            0.011617,            0.017727,           0.0003397,           0.0003397,             0.09694
                   5,             0.07892,            0.026847,            0.023636,             0.11874,             0.33333,            0.090474,            0.020042,            0.047356,             0.01154,            0.015139,          0.00040943,          0.00040943,            0.096309
                   6,            0.074401,            0.025875,            0.020924,             0.12235,                 0.4,              0.1121,             0.02713,            0.044374,            0.011564,            0.013806,          0.00047904,          0.00047904,            0.095679
                   7,            0.068852,            0.026983,            0.017326,             0.29185,             0.39842,             0.28149,            0.070524,            0.042715,            0.011415,            0.011927,          0.00054851,          0.00054851,            0.095049
                   8,            0.069652,             0.02653,            0.017259,             0.46506,             0.56667,             0.40303,             0.14272,            0.040385,            0.011432,            0.010334,           0.0006178,           0.0006178,            0.094418
                   9,            0.067181,            0.024356,            0.015102,             0.48693,             0.69606,             0.53204,             0.23235,            0.037463,             0.01148,           0.0086062,           0.0006869,           0.0006869,            0.093787
                  10,            0.067496,            0.026509,            0.014002,             0.77091,             0.56107,             0.70268,             0.27003,            0.034795,            0.011386,           0.0074129,          0.00075579,          0.00075579,            0.093156
                  11,            0.066129,            0.026642,            0.011928,              0.7687,             0.56667,             0.72068,             0.33472,            0.034482,            0.010802,           0.0064921,          0.00082444,          0.00082444,            0.092524
                  12,            0.047191,            0.025168,           0.0087216,             0.87231,                 0.7,             0.81847,             0.34488,            0.034587,            0.010505,           0.0054005,          0.00089283,          0.00089283,            0.091893
                  13,             0.05695,            0.023658,           0.0091262,             0.82539,             0.63039,             0.78329,             0.35908,            0.029607,            0.010133,           0.0044766,          0.00096093,          0.00096093,            0.091261
                  14,            0.054767,            0.027034,           0.0087235,             0.63396,             0.93333,              0.8701,             0.36178,            0.027117,            0.010038,           0.0037526,           0.0010287,           0.0010287,            0.090629
                  15,            0.053237,            0.023993,           0.0066856,             0.79969,                 0.8,             0.88664,             0.37424,            0.026078,           0.0093627,           0.0033047,           0.0010962,           0.0010962,            0.089996
                  16,            0.053231,            0.022188,           0.0061663,             0.76307,             0.96621,              0.8719,             0.51193,            0.026437,           0.0087035,           0.0032111,           0.0011633,           0.0011633,            0.089363
                  17,            0.044093,             0.02042,           0.0043879,             0.81239,             0.86608,             0.87912,             0.47433,            0.025014,           0.0085918,           0.0026905,           0.0012301,           0.0012301,             0.08873
