               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091612,            0.032505,             0.02788,            0.012735,                 0.2,           0.0077181,           0.0015544,            0.054052,            0.023749,            0.027205,               7e-05,               7e-05,             0.09937
                   1,             0.08642,            0.029021,            0.028114,             0.49849,            0.033333,            0.035502,           0.0085608,            0.044434,            0.022403,            0.024163,          0.00014999,          0.00014999,             0.09865
                   2,            0.083606,            0.029415,            0.024054,             0.11012,             0.36667,            0.095165,            0.022967,            0.039806,            0.021174,            0.021117,          0.00022995,          0.00022995,             0.09793
                   3,            0.064597,            0.029734,            0.019905,             0.13386,             0.24743,            0.084972,            0.017417,            0.036581,            0.020196,            0.018044,          0.00030985,          0.00030985,             0.09721
                   4,            0.073253,            0.029568,            0.021881,             0.49525,             0.13333,             0.17577,            0.066906,            0.033473,            0.019352,             0.01548,          0.00038965,          0.00038965,             0.09649
                   5,             0.06084,            0.026767,            0.018566,             0.33805,             0.36667,             0.27754,            0.092702,            0.031449,            0.018722,            0.012622,          0.00046935,          0.00046935,            0.095769
                   6,            0.053642,            0.028397,            0.014611,             0.44161,             0.43333,               0.382,             0.12128,            0.031187,            0.017867,           0.0096967,           0.0005489,           0.0005489,            0.095049
                   7,            0.053747,            0.029168,            0.015104,             0.41785,             0.56667,             0.47118,             0.18216,            0.031824,            0.017333,           0.0079595,          0.00062829,          0.00062829,            0.094328
                   8,            0.044171,            0.027655,            0.011289,             0.51516,             0.63333,             0.50351,              0.1691,            0.030187,            0.016416,           0.0062523,          0.00070748,          0.00070748,            0.093607
                   9,            0.050328,            0.026079,            0.010329,             0.70381,             0.56667,             0.62566,              0.2041,            0.031704,            0.015731,           0.0046328,          0.00078645,          0.00078645,            0.092886
                  10,            0.054914,             0.02812,            0.012877,             0.75843,             0.63333,             0.71874,             0.22466,             0.02917,            0.015317,           0.0036598,          0.00086518,          0.00086518,            0.092165
                  11,            0.044425,            0.027099,           0.0097684,             0.79306,             0.66667,             0.77532,              0.2842,            0.027528,             0.01479,           0.0030617,          0.00094363,          0.00094363,            0.091444
                  12,            0.044516,            0.023169,           0.0072543,             0.95235,             0.66624,             0.85888,              0.3695,            0.026091,            0.013672,           0.0024162,           0.0010218,           0.0010218,            0.090722
                  13,            0.036809,            0.024928,           0.0058983,             0.82672,                 0.8,             0.83075,             0.36988,             0.02803,            0.012955,           0.0019799,           0.0010996,           0.0010996,                0.09
                  14,            0.041618,            0.023909,           0.0062031,             0.91835,             0.76667,             0.88607,             0.38206,            0.024861,            0.011968,           0.0016456,           0.0011771,           0.0011771,            0.089277
