               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11843,            0.021325,             0.04779,             0.91913,            0.055556,            0.062618,            0.023374,            0.079986,            0.012003,            0.031429,               7e-05,               7e-05,             0.09937
                   1,             0.10311,            0.021011,            0.045166,             0.93679,             0.11111,             0.14754,            0.046449,            0.075451,              0.0118,            0.029252,          0.00014999,          0.00014999,             0.09865
                   2,            0.089788,            0.020695,            0.035335,              0.1755,             0.27778,             0.17109,            0.077749,            0.063851,            0.012127,             0.02702,          0.00022995,          0.00022995,             0.09793
                   3,            0.082902,            0.022514,            0.032338,             0.24611,             0.27778,             0.21152,             0.10384,            0.053299,            0.012421,            0.024176,          0.00030985,          0.00030985,             0.09721
                   4,            0.082347,            0.025243,            0.030084,              0.2154,             0.38889,             0.13164,             0.04892,            0.048564,            0.012316,            0.021723,          0.00038965,          0.00038965,             0.09649
                   5,            0.076334,            0.027418,            0.025505,             0.24398,             0.44444,              0.2112,            0.075016,            0.044063,             0.01228,            0.018484,          0.00046935,          0.00046935,            0.095769
                   6,            0.072181,            0.026186,            0.021627,             0.33287,             0.77778,             0.46104,             0.14708,            0.039836,            0.012125,            0.014813,           0.0005489,           0.0005489,            0.095049
                   7,            0.067212,              0.0268,            0.018504,              0.5839,             0.54619,             0.62999,             0.29951,            0.039453,            0.011618,            0.011697,          0.00062829,          0.00062829,            0.094328
                   8,            0.066356,             0.02735,            0.016019,             0.53319,             0.88838,             0.74342,             0.36315,            0.035499,            0.011383,           0.0089793,          0.00070748,          0.00070748,            0.093607
                   9,            0.060399,            0.026391,            0.012872,              0.6052,             0.94444,             0.80777,             0.40427,             0.03284,            0.011029,           0.0067881,          0.00078645,          0.00078645,            0.092886
                  10,            0.061582,            0.026049,            0.011802,             0.81404,             0.77778,             0.89342,             0.46158,            0.031348,            0.010435,           0.0054704,          0.00086518,          0.00086518,            0.092165
                  11,            0.056077,            0.024245,           0.0094604,             0.94118,             0.88887,             0.92984,             0.57038,            0.033263,           0.0097049,           0.0044303,          0.00094363,          0.00094363,            0.091444
                  12,            0.053063,            0.026149,           0.0088425,             0.77218,             0.94444,             0.89177,             0.41765,            0.030523,           0.0093993,           0.0036957,           0.0010218,           0.0010218,            0.090722
                  13,            0.057344,            0.024438,           0.0077553,             0.84205,             0.88856,             0.91296,             0.55579,            0.030008,           0.0090037,           0.0029352,           0.0010996,           0.0010996,                0.09
                  14,            0.052325,            0.021771,           0.0065651,             0.65359,             0.94444,              0.7993,             0.34452,            0.028276,           0.0085101,           0.0024821,           0.0011771,           0.0011771,            0.089277
                  15,            0.052399,            0.023284,           0.0059436,             0.68098,             0.83333,             0.72875,             0.44759,            0.029715,           0.0077374,           0.0021713,           0.0012542,           0.0012542,            0.088554
