               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07936,            0.028331,            0.034063,            0.017901,             0.16667,           0.0069443,           0.0018359,            0.047915,            0.019917,            0.018724,             0.00014,             0.00014,             0.09874
                   1,            0.083404,              0.0289,            0.034766,            0.048049,             0.38889,            0.028534,           0.0070384,             0.04591,            0.018305,            0.016486,          0.00028998,          0.00028998,             0.09739
                   2,            0.071497,            0.028939,            0.030264,            0.077694,             0.44444,            0.063227,            0.014632,            0.042752,             0.01726,            0.013718,           0.0004399,           0.0004399,             0.09604
                   3,            0.066458,            0.029588,            0.026608,             0.18365,             0.49991,             0.14732,            0.046159,            0.035614,            0.016774,           0.0099045,          0.00058971,          0.00058971,             0.09469
                   4,            0.058259,            0.031606,            0.020754,             0.20473,             0.61111,             0.17292,            0.038969,            0.031749,            0.016028,           0.0081467,          0.00073934,          0.00073934,            0.093339
                   5,            0.051986,             0.02906,            0.017707,             0.65377,             0.33333,             0.46103,             0.14625,             0.02898,            0.015149,           0.0063307,          0.00088877,          0.00088877,            0.091989
                   6,            0.051624,            0.028523,            0.016092,             0.60267,             0.61111,             0.55231,             0.15809,            0.024745,            0.014139,           0.0044913,           0.0010379,           0.0010379,            0.090638
                   7,            0.041063,            0.025657,            0.011418,             0.58917,             0.72222,             0.63311,             0.29002,            0.021754,            0.013179,           0.0029765,           0.0011868,           0.0011868,            0.089287
                   8,            0.044283,            0.025313,            0.011473,             0.52625,             0.55556,             0.50734,             0.27365,            0.022153,             0.01238,           0.0024796,           0.0013352,           0.0013352,            0.087935
                   9,            0.036835,            0.022826,           0.0069319,              0.8421,             0.88884,             0.89033,             0.48869,             0.01455,            0.010735,           0.0015374,           0.0014833,           0.0014833,            0.086583
                  10,            0.035126,            0.021931,           0.0054265,             0.68414,             0.72199,             0.72335,             0.33397,            0.022727,           0.0092582,           0.0011976,           0.0016309,           0.0016309,            0.085231
                  11,            0.034222,            0.021114,           0.0044618,             0.66652,             0.88831,              0.7813,             0.48469,            0.019145,           0.0083624,           0.0010772,            0.001778,            0.001778,            0.083878
                  12,            0.040323,            0.021478,           0.0062771,             0.65338,             0.94444,             0.77514,             0.39986,            0.020499,           0.0076667,          0.00093652,           0.0019245,           0.0019245,            0.082525
                  13,              0.0377,             0.01983,           0.0040279,             0.73912,             0.94441,             0.86805,             0.51511,            0.020171,           0.0074268,           0.0009246,           0.0020705,           0.0020705,             0.08117
                  14,            0.036044,            0.018584,           0.0033333,             0.65376,             0.94412,             0.86153,             0.43312,            0.024958,           0.0069794,          0.00084732,           0.0022157,           0.0022157,            0.079816
                  15,            0.040126,            0.018121,           0.0035392,             0.79976,             0.88889,             0.81349,             0.35301,            0.028799,           0.0064739,          0.00076747,           0.0023603,           0.0023603,             0.07846
                  16,            0.037292,            0.017962,           0.0030664,             0.73837,             0.66667,             0.75965,             0.40728,            0.017965,           0.0068002,          0.00089498,           0.0025041,           0.0025041,            0.077104
                  17,            0.039379,            0.018039,            0.002907,             0.57683,             0.83304,             0.66375,             0.33722,            0.026652,           0.0062108,          0.00079607,           0.0026471,           0.0026471,            0.075747
                  18,            0.040727,            0.016953,           0.0026636,             0.71428,             0.83331,             0.86067,             0.42835,            0.018361,           0.0063096,          0.00083738,           0.0027893,           0.0027893,            0.074389
                  19,            0.036195,            0.017573,           0.0025013,             0.76104,             0.88889,             0.83392,             0.37457,            0.024316,            0.005946,          0.00072245,           0.0029305,           0.0029305,            0.073031
                  20,            0.034163,            0.016764,           0.0023008,             0.66649,             0.88819,             0.72457,             0.37961,             0.02129,           0.0057675,          0.00069187,           0.0030708,           0.0030708,            0.071671
                  21,            0.034166,            0.016625,           0.0019635,             0.78191,                   1,              0.8512,             0.48122,            0.018075,           0.0050452,          0.00073648,           0.0032102,           0.0032102,             0.07031
                  22,            0.035419,            0.015774,           0.0023333,             0.66506,             0.88272,             0.82466,             0.52578,            0.024305,           0.0045962,          0.00071075,           0.0033485,           0.0033485,            0.068948
                  23,            0.029525,            0.015857,           0.0019337,             0.89437,             0.94444,             0.95644,             0.66363,            0.018816,           0.0047075,          0.00070404,           0.0034857,           0.0034857,            0.067586
                  24,             0.03495,            0.015204,           0.0017313,             0.62957,             0.94421,             0.76802,             0.40561,            0.022076,           0.0045382,          0.00075179,           0.0036218,           0.0036218,            0.066222
                  25,            0.038091,             0.01787,           0.0023453,             0.89471,             0.94423,             0.96097,             0.54301,            0.016084,            0.004607,          0.00072904,           0.0037568,           0.0037568,            0.064857
                  26,            0.043493,            0.015759,           0.0024553,             0.55714,             0.77778,             0.68016,              0.2697,            0.017919,           0.0044233,          0.00076106,           0.0038905,           0.0038905,             0.06349
                  27,            0.038519,            0.014912,           0.0020789,             0.51571,             0.88889,             0.66712,             0.21621,             0.02398,           0.0042486,          0.00079676,            0.004023,            0.004023,            0.062123
                  28,            0.034666,            0.013693,           0.0020211,             0.89997,              0.9997,             0.96014,             0.65942,            0.012187,           0.0044068,          0.00092659,           0.0041541,           0.0041541,            0.060754
                  29,            0.032645,            0.015463,           0.0020062,             0.94443,             0.94426,             0.97156,             0.61866,             0.01839,           0.0043248,          0.00085629,            0.004284,            0.004284,            0.059384
                  30,            0.035072,            0.014621,           0.0019728,             0.83128,             0.83333,             0.90973,             0.65614,            0.020493,           0.0042003,          0.00088599,           0.0044124,           0.0044124,            0.058012
                  31,            0.033575,            0.013686,           0.0019148,             0.93221,             0.77778,             0.91199,             0.58618,             0.01604,            0.003991,           0.0010257,           0.0045395,           0.0045395,            0.056639
                  32,             0.02908,            0.014901,           0.0018635,             0.89471,             0.94417,             0.91066,             0.50414,            0.016767,           0.0038479,          0.00092519,            0.004665,            0.004665,            0.055265
                  33,            0.034781,            0.014225,           0.0018161,             0.66574,             0.88889,             0.83783,             0.48539,             0.02942,            0.003344,          0.00085946,           0.0047891,           0.0047891,            0.053889
                  34,            0.035973,            0.014665,           0.0019938,             0.62943,             0.94366,             0.80572,             0.53406,            0.014812,           0.0038464,          0.00096221,           0.0049116,           0.0049116,            0.052512
                  35,            0.031002,            0.014179,           0.0017941,             0.84971,             0.94444,             0.93572,              0.5748,            0.027954,           0.0034512,          0.00081877,           0.0050326,           0.0050326,            0.051133
