               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11828,            0.020236,                   0,            0.021511,                 0.4,            0.016711,           0.0025546,            0.073574,            0.012669,                   0,               6e-05,               6e-05,             0.09946
                   1,             0.11266,            0.022488,                   0,            0.028673,             0.16667,            0.018766,           0.0028809,            0.069102,            0.012678,                   0,          0.00012999,          0.00012999,             0.09883
                   2,             0.10806,            0.023657,                   0,            0.034919,                 0.4,            0.028974,           0.0039924,            0.061115,            0.012935,                   0,          0.00019996,          0.00019996,              0.0982
                   3,             0.10874,            0.023338,                   0,            0.048489,             0.26667,            0.030778,           0.0044598,            0.055877,            0.012913,                   0,          0.00026987,          0.00026987,             0.09757
                   4,            0.094391,            0.025933,                   0,             0.14189,             0.23333,             0.07028,            0.012288,            0.048189,            0.012684,                   0,           0.0003397,           0.0003397,             0.09694
                   5,            0.085292,            0.026423,                   0,             0.17932,                 0.3,            0.098183,            0.021799,             0.04508,            0.012528,                   0,          0.00040943,          0.00040943,            0.096309
                   6,            0.079722,            0.028741,                   0,             0.19424,             0.26667,             0.13012,            0.025507,            0.042246,            0.012509,                   0,          0.00047904,          0.00047904,            0.095679
                   7,            0.076278,            0.029146,                   0,             0.27354,             0.36667,             0.19838,            0.052692,            0.039608,            0.012413,                   0,          0.00054851,          0.00054851,            0.095049
                   8,            0.067343,            0.027285,                   0,             0.24447,                 0.4,             0.26233,            0.075246,            0.038755,             0.01219,                   0,           0.0006178,           0.0006178,            0.094418
                   9,            0.074538,            0.027682,                   0,             0.41843,             0.43175,             0.34136,              0.1064,            0.035505,            0.012022,                   0,           0.0006869,           0.0006869,            0.093787
                  10,            0.066885,            0.028673,                   0,             0.44668,             0.56667,             0.47497,             0.15005,            0.036758,            0.011673,                   0,          0.00075579,          0.00075579,            0.093156
                  11,             0.06112,            0.027595,                   0,             0.55947,             0.43333,             0.46747,             0.19721,            0.036367,            0.010974,                   0,          0.00082444,          0.00082444,            0.092524
                  12,            0.063264,            0.026887,                   0,             0.85971,             0.43333,             0.60048,             0.23401,            0.035083,            0.010665,                   0,          0.00089283,          0.00089283,            0.091893
                  13,            0.059144,            0.028777,                   0,             0.79321,             0.53333,             0.68683,             0.26825,            0.032904,            0.010313,                   0,          0.00096093,          0.00096093,            0.091261
                  14,            0.058447,            0.025398,                   0,             0.74647,                 0.5,             0.65117,             0.27125,            0.030828,           0.0099577,                   0,           0.0010287,           0.0010287,            0.090629
                  15,            0.055261,            0.022611,                   0,              0.5276,             0.86667,             0.70852,             0.33936,            0.029991,           0.0096185,                   0,           0.0010962,           0.0010962,            0.089996
                  16,            0.056482,            0.025072,                   0,             0.84993,             0.56636,             0.70386,             0.28272,            0.029394,           0.0093863,                   0,           0.0011633,           0.0011633,            0.089363
                  17,            0.048903,            0.023894,                   0,              0.7494,                 0.7,             0.77038,             0.38753,            0.027217,           0.0091015,                   0,           0.0012301,           0.0012301,             0.08873
                  18,            0.045237,            0.023511,                   0,             0.75861,             0.73329,             0.79348,             0.34861,            0.027019,           0.0088062,                   0,           0.0012964,           0.0012964,            0.088096
                  19,            0.048722,            0.023776,                   0,             0.75826,             0.73333,             0.78845,             0.41207,              0.0275,           0.0082738,                   0,           0.0013623,           0.0013623,            0.087462
                  20,            0.044449,            0.022648,                   0,              0.8571,             0.79976,             0.87526,              0.4617,            0.024309,           0.0079107,                   0,           0.0014278,           0.0014278,            0.086828
                  21,            0.046955,            0.022202,                   0,             0.67593,             0.76667,              0.7016,             0.33288,            0.023758,           0.0075222,                   0,           0.0014929,           0.0014929,            0.086193
                  22,             0.04496,            0.022325,                   0,             0.62172,             0.93333,             0.73054,             0.38565,            0.023448,           0.0073638,                   0,           0.0015574,           0.0015574,            0.085557
                  23,            0.042386,            0.022677,                   0,             0.76462,             0.86629,             0.86441,             0.47194,            0.022929,           0.0073022,                   0,           0.0016215,           0.0016215,            0.084921
                  24,            0.053837,             0.02072,                   0,             0.52801,             0.93333,             0.65269,              0.3395,            0.028019,           0.0071208,                   0,            0.001685,            0.001685,            0.084285
                  25,            0.047477,            0.019938,                   0,             0.62146,             0.76615,             0.72742,             0.39851,            0.026838,           0.0069325,                   0,            0.001748,            0.001748,            0.083648
