               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095735,            0.023263,                   0,           0.0070193,             0.13333,           0.0038202,          0.00057916,            0.049216,            0.014766,                   0,               7e-05,               7e-05,             0.09937
                   1,            0.086038,            0.024363,                   0,            0.043737,            0.033333,           0.0063296,           0.0008956,            0.046374,            0.014764,                   0,          0.00014999,          0.00014999,             0.09865
                   2,            0.083848,            0.025413,                   0,            0.073854,                 0.1,            0.014892,           0.0021999,            0.041952,            0.015035,                   0,          0.00022995,          0.00022995,             0.09793
                   3,            0.075762,            0.026466,                   0,             0.49311,            0.033333,            0.032418,           0.0097628,            0.039275,            0.015035,                   0,          0.00030985,          0.00030985,             0.09721
                   4,             0.07019,            0.028042,                   0,            0.067169,                 0.2,            0.037593,           0.0077522,            0.037409,            0.014726,                   0,          0.00038965,          0.00038965,             0.09649
                   5,            0.074382,            0.027774,                   0,             0.42866,             0.26667,              0.2736,            0.094903,            0.030292,            0.015706,                   0,          0.00046935,          0.00046935,            0.095769
                   6,            0.058207,            0.027305,                   0,             0.27502,             0.36667,             0.25037,             0.10793,            0.029018,            0.015201,                   0,           0.0005489,           0.0005489,            0.095049
                   7,            0.053441,            0.026731,                   0,             0.37066,             0.46667,             0.32053,             0.12862,            0.027772,            0.014839,                   0,          0.00062829,          0.00062829,            0.094328
                   8,            0.065327,            0.028907,                   0,             0.48316,                 0.6,             0.48318,             0.18105,            0.026682,            0.014726,                   0,          0.00070748,          0.00070748,            0.093607
                   9,            0.052087,            0.026657,                   0,             0.42043,             0.73333,             0.51923,             0.21935,            0.025509,            0.014045,                   0,          0.00078645,          0.00078645,            0.092886
                  10,             0.05461,            0.027452,                   0,             0.54995,             0.89617,              0.7243,             0.31846,            0.024552,            0.013107,                   0,          0.00086518,          0.00086518,            0.092165
                  11,            0.058376,            0.028345,                   0,             0.66646,             0.73266,             0.72171,             0.32293,            0.022361,            0.012754,                   0,          0.00094363,          0.00094363,            0.091444
                  12,            0.051629,            0.026578,                   0,             0.65116,             0.93331,             0.78603,             0.36724,            0.021786,            0.012175,                   0,           0.0010218,           0.0010218,            0.090722
