               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098109,            0.021324,            0.046644,           0.0029185,             0.23333,           0.0018895,          0.00031145,            0.082497,            0.011812,            0.032739,               6e-05,               6e-05,             0.09946
                   1,             0.10556,            0.020809,            0.048024,            0.094823,            0.033333,           0.0073291,          0.00099004,            0.078054,              0.0116,            0.031036,          0.00012999,          0.00012999,             0.09883
                   2,            0.099342,            0.021487,            0.041986,            0.052932,            0.066667,           0.0091533,           0.0015885,            0.070571,            0.011562,            0.028361,          0.00019996,          0.00019996,              0.0982
                   3,            0.095084,            0.025716,            0.040549,             0.18251,            0.033333,            0.012377,           0.0038537,            0.062622,            0.011592,            0.025171,          0.00026987,          0.00026987,             0.09757
                   4,            0.083117,            0.024395,            0.033742,             0.23889,            0.033333,            0.023394,           0.0092112,            0.056695,            0.011745,            0.021471,           0.0003397,           0.0003397,             0.09694
                   5,            0.074721,            0.024996,            0.028702,             0.16144,             0.16667,            0.072239,            0.016527,            0.050628,            0.011894,            0.018492,          0.00040943,          0.00040943,            0.096309
                   6,            0.078432,            0.026486,            0.027995,             0.14475,             0.32728,             0.12549,            0.023299,            0.046834,            0.011768,            0.016078,          0.00047904,          0.00047904,            0.095679
                   7,            0.063541,            0.026735,            0.022974,             0.23052,             0.43333,             0.21436,            0.076497,            0.043157,            0.011787,            0.014139,          0.00054851,          0.00054851,            0.095049
                   8,            0.064518,            0.027419,            0.019044,             0.38643,                 0.6,             0.47407,             0.15891,            0.041292,            0.011604,             0.01245,           0.0006178,           0.0006178,            0.094418
                   9,            0.066979,            0.026695,             0.01885,             0.61017,                 0.6,             0.66333,             0.31507,            0.040701,            0.011427,            0.010703,           0.0006869,           0.0006869,            0.093787
                  10,            0.063478,             0.02811,            0.016302,             0.77082,             0.63333,             0.70579,             0.26246,             0.03824,            0.010969,           0.0081253,          0.00075579,          0.00075579,            0.093156
                  11,            0.064271,            0.025726,            0.014737,             0.57857,             0.73333,             0.71375,             0.30406,            0.037653,            0.010553,           0.0073227,          0.00082444,          0.00082444,            0.092524
