               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11199,            0.021717,            0.040194,             0.32541,             0.23333,             0.16464,            0.067566,            0.059318,            0.013652,            0.023634,               7e-05,               7e-05,             0.09937
                   1,            0.099322,            0.023059,            0.035821,             0.24629,             0.23333,             0.15334,            0.052512,            0.056357,            0.013237,            0.022071,          0.00014999,          0.00014999,             0.09865
                   2,            0.088156,            0.023111,            0.031853,             0.15769,                 0.3,             0.13413,            0.039476,            0.050409,            0.012988,            0.019948,          0.00022995,          0.00022995,             0.09793
                   3,              0.1049,            0.025254,            0.034888,             0.17878,             0.26667,             0.09749,            0.016508,            0.044706,            0.012855,            0.016957,          0.00030985,          0.00030985,             0.09721
                   4,            0.075767,            0.028284,            0.024555,             0.19931,             0.43333,             0.13811,            0.032034,            0.039019,            0.012922,            0.014477,          0.00038965,          0.00038965,             0.09649
                   5,             0.07775,            0.026688,            0.025688,              0.2087,                 0.3,               0.191,            0.058608,            0.031245,            0.012956,            0.013125,          0.00046935,          0.00046935,            0.095769
                   6,             0.06707,            0.028638,            0.022547,             0.22613,             0.56667,             0.25998,            0.082328,            0.028906,            0.012652,            0.011562,           0.0005489,           0.0005489,            0.095049
                   7,            0.061282,            0.026129,            0.018824,             0.37336,             0.56667,             0.37188,             0.11417,             0.02603,            0.012446,           0.0099764,          0.00062829,          0.00062829,            0.094328
                   8,            0.056435,            0.026231,            0.014299,             0.60426,             0.46667,             0.48615,             0.16518,            0.027324,            0.012177,           0.0079955,          0.00070748,          0.00070748,            0.093607
                   9,            0.059622,            0.026936,            0.015732,             0.59831,             0.49663,             0.55893,             0.21368,            0.025831,            0.012082,           0.0065159,          0.00078645,          0.00078645,            0.092886
                  10,            0.059159,            0.026788,            0.012936,             0.55143,                 0.7,             0.62484,             0.24047,            0.024165,            0.011608,           0.0055576,          0.00086518,          0.00086518,            0.092165
                  11,            0.047866,              0.0242,           0.0087881,             0.74974,             0.69906,             0.74128,             0.36608,            0.021709,            0.011204,            0.004727,          0.00094363,          0.00094363,            0.091444
                  12,            0.042857,            0.022583,           0.0076286,             0.71265,             0.66667,             0.75201,              0.3698,            0.022417,            0.010323,           0.0041412,           0.0010218,           0.0010218,            0.090722
                  13,            0.037854,            0.021044,           0.0070824,             0.65046,             0.93333,             0.83213,             0.48957,            0.018598,            0.010198,           0.0034389,           0.0010996,           0.0010996,                0.09
                  14,            0.043211,            0.019088,           0.0077081,             0.69991,             0.93333,             0.79272,             0.48014,            0.017167,           0.0090654,            0.003136,           0.0011771,           0.0011771,            0.089277
                  15,             0.04803,            0.019137,           0.0062229,             0.73626,             0.93333,             0.81621,             0.44033,            0.020442,           0.0087136,           0.0026923,           0.0012542,           0.0012542,            0.088554
                  16,            0.038061,            0.019858,           0.0046499,             0.78771,             0.86667,             0.82957,             0.56005,            0.018024,           0.0084507,           0.0026957,           0.0013309,           0.0013309,            0.087831
