               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087826,            0.023973,             0.03956,           0.0029186,             0.16667,           0.0015152,          0.00040721,            0.081197,            0.014418,            0.032486,               6e-05,               6e-05,             0.09946
                   1,             0.10318,             0.02266,            0.047719,            0.026748,            0.033333,           0.0045539,          0.00069691,            0.075973,            0.014022,            0.031204,          0.00012999,          0.00012999,             0.09883
                   2,            0.088997,            0.022968,            0.037663,           0.0070794,                 0.1,           0.0033502,          0.00058679,            0.066185,            0.013643,            0.028565,          0.00019996,          0.00019996,              0.0982
                   3,            0.083515,            0.027089,            0.038101,            0.057765,             0.23333,            0.025588,           0.0048209,            0.060086,            0.013269,            0.024822,          0.00026987,          0.00026987,             0.09757
                   4,            0.082534,             0.02541,            0.034726,             0.07482,             0.33333,            0.061484,            0.011331,            0.055761,            0.012999,            0.021672,           0.0003397,           0.0003397,             0.09694
                   5,            0.068612,            0.025672,            0.026656,             0.24662,             0.33333,             0.14975,            0.047739,            0.049092,            0.012772,             0.01838,          0.00040943,          0.00040943,            0.096309
                   6,            0.068911,            0.026982,            0.024463,             0.26215,                 0.3,             0.23191,            0.092141,            0.044471,            0.012582,            0.015544,          0.00047904,          0.00047904,            0.095679
                   7,            0.059831,            0.026899,            0.020881,             0.39268,                 0.6,             0.40865,             0.17639,             0.03932,            0.012428,            0.012586,          0.00054851,          0.00054851,            0.095049
                   8,            0.056021,            0.027545,            0.017571,             0.51151,             0.56667,             0.49233,             0.23091,            0.037526,            0.012138,            0.011057,           0.0006178,           0.0006178,            0.094418
                   9,            0.060714,            0.026439,            0.016861,              0.6437,             0.73333,             0.68049,             0.36668,            0.034985,            0.011827,           0.0089658,           0.0006869,           0.0006869,            0.093787
                  10,            0.059396,            0.028154,            0.015971,             0.85664,             0.59768,             0.72213,             0.35622,            0.033023,            0.011354,           0.0073079,          0.00075579,          0.00075579,            0.093156
                  11,            0.057789,             0.02577,            0.011384,             0.58471,                 0.8,             0.68165,             0.27276,            0.036638,            0.011002,           0.0064607,          0.00082444,          0.00082444,            0.092524
                  12,            0.047916,            0.023598,           0.0099008,             0.64262,             0.89908,              0.7517,             0.35239,            0.030436,            0.010737,           0.0053987,          0.00089283,          0.00089283,            0.091893
                  13,            0.049551,            0.023697,           0.0091747,             0.67445,                 0.7,               0.712,             0.24834,            0.031606,             0.01025,           0.0047316,          0.00096093,          0.00096093,            0.091261
                  14,            0.051331,              0.0219,           0.0090189,             0.67325,             0.76667,             0.69903,             0.28719,            0.033082,           0.0098308,           0.0042167,           0.0010287,           0.0010287,            0.090629
                  15,            0.043697,            0.021756,           0.0076308,             0.79141,             0.76667,             0.80472,              0.3745,            0.039049,           0.0092647,           0.0058311,           0.0010962,           0.0010962,            0.089996
                  16,            0.041044,            0.020745,           0.0056845,             0.77419,             0.79998,              0.7881,             0.38743,             0.03699,           0.0088261,           0.0050552,           0.0011633,           0.0011633,            0.089363
                  17,            0.039964,            0.019344,            0.004661,             0.76606,             0.76414,             0.72055,             0.38594,            0.032557,           0.0082169,           0.0037147,           0.0012301,           0.0012301,             0.08873
                  18,            0.045661,            0.018586,           0.0051212,              0.7205,             0.86667,             0.73411,             0.39172,            0.030927,            0.007748,           0.0036315,           0.0012964,           0.0012964,            0.088096
                  19,            0.049916,             0.01835,           0.0052302,             0.57099,             0.79859,             0.63175,             0.32329,            0.027427,           0.0073217,            0.003652,           0.0013623,           0.0013623,            0.087462
                  20,            0.043501,            0.018947,           0.0047506,             0.74951,                 0.8,               0.813,             0.46725,            0.023774,           0.0070953,           0.0034278,           0.0014278,           0.0014278,            0.086828
                  21,             0.04903,             0.01976,           0.0042467,             0.69436,             0.83299,             0.74553,             0.45046,              0.0255,           0.0069055,           0.0031305,           0.0014929,           0.0014929,            0.086193
                  22,            0.041438,            0.019518,           0.0034819,             0.67532,             0.83333,             0.73896,             0.46798,            0.022278,           0.0067349,           0.0032571,           0.0015574,           0.0015574,            0.085557
                  23,             0.04538,             0.01812,           0.0033812,             0.66427,                 0.8,             0.73541,             0.34326,            0.023139,           0.0065426,           0.0027645,           0.0016215,           0.0016215,            0.084921
                  24,            0.040465,            0.016624,           0.0026882,             0.59175,             0.73333,             0.66596,             0.36513,            0.033633,           0.0063306,           0.0024883,            0.001685,            0.001685,            0.084285
                  25,            0.055178,            0.017945,           0.0027162,             0.78364,             0.73333,             0.73244,             0.35124,            0.038392,           0.0063108,           0.0026479,            0.001748,            0.001748,            0.083648
                  26,            0.046989,            0.018405,           0.0024877,             0.85353,                 0.6,             0.77611,             0.29334,            0.035483,           0.0059749,           0.0028118,           0.0018104,           0.0018104,             0.08301
                  27,            0.042403,            0.015715,           0.0023618,             0.64891,             0.86667,             0.73299,             0.28654,            0.032966,           0.0060957,           0.0030113,           0.0018723,           0.0018723,            0.082372
                  28,            0.051855,            0.018452,           0.0026846,             0.92304,              0.7996,             0.87058,             0.56721,            0.027931,           0.0062792,           0.0029368,           0.0019335,           0.0019335,            0.081733
                  29,            0.050513,            0.016768,           0.0028815,             0.63991,             0.83333,             0.72629,             0.42543,            0.030196,            0.005879,           0.0029183,           0.0019941,           0.0019941,            0.081094
                  30,            0.038785,            0.015993,           0.0021002,             0.67645,             0.76658,             0.68681,             0.45749,            0.035471,           0.0057344,           0.0029883,           0.0020541,           0.0020541,            0.080454
                  31,            0.039817,            0.016338,           0.0022806,             0.89117,             0.83333,             0.85602,              0.4396,            0.028438,            0.005725,           0.0029142,           0.0021134,           0.0021134,            0.079813
                  32,            0.042771,            0.015662,           0.0018522,              0.7397,             0.76667,             0.71601,             0.43365,            0.029305,           0.0055889,           0.0023559,            0.002172,            0.002172,            0.079172
                  33,            0.042466,            0.015961,           0.0024221,             0.72695,             0.79875,             0.78858,             0.43187,            0.032894,           0.0054356,           0.0021735,           0.0022299,           0.0022299,             0.07853
                  34,            0.043108,            0.017013,           0.0022089,             0.80716,             0.69771,             0.79506,             0.48509,            0.029438,           0.0055277,           0.0020621,           0.0022871,           0.0022871,            0.077887
                  35,            0.040179,            0.017089,           0.0021612,               0.857,             0.79907,             0.85097,             0.52496,            0.028956,           0.0055695,           0.0020974,           0.0023436,           0.0023436,            0.077244
                  36,            0.045291,            0.015306,            0.002099,             0.64698,             0.73309,             0.73478,             0.44629,            0.036339,           0.0050728,           0.0025078,           0.0023993,           0.0023993,            0.076599
                  37,            0.046265,            0.014865,           0.0021735,             0.61887,             0.86604,             0.79063,             0.35474,            0.027454,           0.0052587,            0.002228,           0.0024542,           0.0024542,            0.075954
                  38,            0.044758,            0.015611,            0.002026,             0.58201,             0.93333,             0.77961,             0.56194,            0.024847,            0.005126,           0.0022688,           0.0025083,           0.0025083,            0.075308
                  39,            0.044382,            0.015376,            0.001803,             0.60513,             0.76667,             0.71225,             0.42627,            0.034926,           0.0047636,           0.0024325,           0.0025617,           0.0025617,            0.074662
                  40,            0.043911,            0.014872,           0.0026144,               0.763,             0.86667,             0.82002,             0.61595,            0.027458,           0.0049492,           0.0028255,           0.0026142,           0.0026142,            0.074014
                  41,            0.040893,            0.015279,           0.0025513,             0.59078,             0.86623,             0.71084,             0.46086,            0.033049,           0.0048588,           0.0034757,           0.0026659,           0.0026659,            0.073366
                  42,            0.040988,            0.015504,           0.0019998,             0.81796,                 0.9,             0.87131,             0.56314,            0.027868,           0.0050602,           0.0031871,           0.0027167,           0.0027167,            0.072717
                  43,            0.039829,            0.014926,           0.0019587,             0.62485,             0.83283,             0.71307,             0.42296,            0.031815,           0.0048639,           0.0029984,           0.0027667,           0.0027667,            0.072067
                  44,            0.033853,            0.015041,           0.0019169,             0.89631,             0.86667,             0.89607,             0.59792,            0.026849,           0.0047977,           0.0029507,           0.0028157,           0.0028157,            0.071416
                  45,            0.034568,            0.014182,           0.0017153,              0.7136,              0.6645,             0.73873,             0.51662,            0.034922,           0.0046381,           0.0026677,           0.0028639,           0.0028639,            0.070764
                  46,            0.038333,            0.013585,           0.0018041,             0.89612,             0.86667,             0.90195,             0.66368,            0.021607,            0.004683,            0.002577,           0.0029112,           0.0029112,            0.070111
                  47,             0.03262,            0.013709,             0.00166,             0.67735,             0.69978,             0.77594,             0.52939,            0.034344,            0.004476,           0.0022257,           0.0029575,           0.0029575,            0.069457
                  48,            0.038896,            0.014748,           0.0018386,             0.96426,                 0.9,             0.91716,             0.66433,            0.027143,           0.0045776,           0.0022332,           0.0030029,           0.0030029,            0.068803
                  49,            0.036924,            0.013753,            0.001883,              0.8437,             0.89964,              0.8961,             0.59691,            0.023211,           0.0044631,           0.0022394,           0.0030473,           0.0030473,            0.068147
                  50,            0.038628,            0.014449,           0.0018922,             0.89992,                 0.9,             0.91439,              0.6206,            0.029431,           0.0042937,           0.0021394,           0.0030908,           0.0030908,            0.067491
                  51,            0.036794,            0.014613,           0.0017065,             0.84346,                 0.9,             0.89022,             0.61007,            0.024789,           0.0041403,            0.002034,           0.0031333,           0.0031333,            0.066833
                  52,            0.036808,            0.013958,           0.0017271,             0.82337,             0.93333,             0.87346,             0.55261,            0.027345,           0.0042401,           0.0021738,           0.0031748,           0.0031748,            0.066175
                  53,            0.039766,             0.01474,           0.0019514,             0.71788,               0.933,             0.83736,             0.62728,            0.028208,           0.0042417,           0.0022941,           0.0032153,           0.0032153,            0.065515
                  54,            0.039927,            0.014076,           0.0021112,             0.93332,              0.9331,             0.92942,             0.71283,            0.024079,           0.0041863,           0.0021708,           0.0032547,           0.0032547,            0.064855
                  55,             0.03717,            0.014402,           0.0018524,             0.72973,             0.89999,             0.78268,             0.55697,            0.024658,           0.0040544,           0.0023049,           0.0032932,           0.0032932,            0.064193
                  56,            0.041561,            0.013891,           0.0018583,             0.59572,             0.93333,             0.72857,             0.55755,             0.02485,           0.0041734,           0.0022953,           0.0033306,           0.0033306,            0.063531
                  57,            0.036771,            0.013991,           0.0016901,             0.79991,             0.93333,             0.87072,               0.664,            0.020002,           0.0041471,           0.0022284,            0.003367,            0.003367,            0.062867
                  58,            0.036455,            0.014683,           0.0020269,             0.93083,                 0.9,             0.89655,             0.60301,            0.023654,           0.0048346,            0.002411,           0.0034023,           0.0034023,            0.062202
                  59,            0.036035,            0.012898,           0.0016925,             0.93102,                 0.9,             0.89216,             0.62338,            0.021653,           0.0049667,           0.0021808,           0.0034366,           0.0034366,            0.061537
                  60,            0.041461,            0.013038,           0.0017053,             0.93327,             0.93333,             0.91323,             0.69017,            0.023528,           0.0043574,           0.0018315,           0.0034698,           0.0034698,             0.06087
                  61,            0.036744,            0.014576,           0.0016405,               0.875,             0.93333,             0.87967,              0.5965,            0.027564,           0.0042542,           0.0020675,           0.0035019,           0.0035019,            0.060202
                  62,            0.032793,            0.014096,           0.0014942,             0.87496,             0.93303,             0.90945,             0.68459,            0.022885,           0.0040535,           0.0019975,           0.0035329,           0.0035329,            0.059533
                  63,            0.029883,             0.01251,           0.0014907,             0.93316,             0.93333,             0.93782,             0.65648,            0.025063,           0.0040747,           0.0018178,           0.0035629,           0.0035629,            0.058863
                  64,            0.029623,            0.012495,           0.0016893,              0.9028,             0.93333,             0.92779,             0.70216,            0.018656,           0.0040214,            0.001879,           0.0035917,           0.0035917,            0.058192
                  65,            0.032314,            0.012865,            0.001581,             0.96423,                 0.9,             0.94157,             0.68797,            0.024597,           0.0040951,           0.0016914,           0.0036194,           0.0036194,            0.057519
                  66,            0.032181,            0.013154,           0.0015247,              0.8746,             0.93333,             0.93563,             0.68338,            0.021054,              0.0042,           0.0017816,            0.003646,            0.003646,            0.056846
                  67,            0.039374,            0.012704,           0.0020299,             0.69202,                 0.9,             0.84238,             0.55542,            0.025016,           0.0042733,           0.0016941,           0.0036715,           0.0036715,            0.056172
                  68,            0.034736,            0.013066,           0.0014752,             0.93315,             0.93333,             0.94274,             0.69812,             0.01854,           0.0043383,           0.0016681,           0.0036959,           0.0036959,            0.055496
                  69,            0.030944,            0.013115,           0.0014925,             0.59063,             0.86667,             0.73008,             0.50917,            0.021826,           0.0043021,            0.001731,           0.0037192,           0.0037192,            0.054819
                  70,            0.027192,            0.012685,           0.0019568,             0.90318,             0.93333,             0.92077,             0.68638,            0.019685,           0.0042333,           0.0016361,           0.0037413,           0.0037413,            0.054141
                  71,            0.031571,            0.012519,            0.001403,             0.79881,             0.93333,             0.89778,             0.62004,            0.028702,           0.0040491,           0.0017384,           0.0037623,           0.0037623,            0.053462
                  72,             0.04002,            0.012673,           0.0016545,             0.93329,             0.93333,             0.91466,             0.71116,            0.018568,           0.0040855,           0.0020139,           0.0037822,           0.0037822,            0.052782
                  73,             0.03481,            0.014184,            0.001941,             0.84356,                 0.9,             0.89473,             0.66415,            0.022568,           0.0039638,           0.0018469,           0.0038009,           0.0038009,            0.052101
                  74,            0.033222,            0.011966,            0.001622,             0.93291,             0.93333,             0.92404,             0.53135,            0.025041,            0.003998,           0.0015835,           0.0038185,           0.0038185,            0.051418
                  75,            0.036082,            0.012427,           0.0017291,             0.93315,             0.93333,             0.92131,             0.62658,            0.021266,           0.0039129,           0.0016325,           0.0038349,           0.0038349,            0.050735
                  76,            0.040086,             0.01302,           0.0018608,             0.87494,             0.93333,             0.90401,             0.68612,            0.023241,           0.0038861,           0.0016275,           0.0038502,           0.0038502,             0.05005
                  77,            0.046461,            0.012727,           0.0023015,             0.65114,             0.93333,             0.83215,             0.64698,            0.023561,           0.0038254,           0.0015611,           0.0038644,           0.0038644,            0.049364
                  78,            0.034794,            0.012031,           0.0019165,              0.9198,             0.76667,             0.87005,             0.67418,             0.01875,           0.0037994,           0.0018263,           0.0038774,           0.0038774,            0.048677
                  79,             0.03369,            0.012365,           0.0020463,             0.83238,             0.83333,             0.89604,             0.67941,            0.023269,           0.0037308,           0.0017789,           0.0038893,           0.0038893,            0.047989
                  80,              0.0401,            0.013242,           0.0019106,             0.96667,             0.96667,             0.95135,             0.71406,            0.022721,           0.0037592,            0.001735,           0.0039001,           0.0039001,              0.0473
                  81,            0.031509,            0.012855,            0.001701,             0.96666,             0.96667,             0.95177,             0.71118,            0.018599,           0.0036736,            0.001612,           0.0039097,           0.0039097,             0.04661
                  82,            0.029809,            0.012709,           0.0015801,              0.7073,             0.96657,              0.8487,             0.60216,            0.028902,           0.0036847,           0.0015023,           0.0039182,           0.0039182,            0.045918
                  83,            0.038847,            0.013897,           0.0020711,             0.84848,             0.93333,             0.91303,             0.68263,            0.019042,           0.0038019,           0.0016041,           0.0039255,           0.0039255,            0.045226
                  84,            0.032803,            0.011498,            0.001816,             0.93324,             0.93333,                0.92,             0.70367,            0.018772,           0.0038062,            0.001606,           0.0039317,           0.0039317,            0.044532
                  85,            0.038547,            0.012079,           0.0018104,             0.90623,             0.96667,             0.93445,             0.74533,            0.022196,           0.0036893,           0.0015967,           0.0039369,           0.0039369,            0.043837
                  86,            0.033268,            0.011959,           0.0019123,             0.93331,             0.93333,             0.90972,             0.77217,            0.019645,           0.0037273,           0.0018161,           0.0039408,           0.0039408,            0.043141
                  87,            0.033025,            0.012243,           0.0014976,             0.96428,             0.89996,             0.91053,             0.70804,            0.023374,           0.0039636,           0.0022271,           0.0039437,           0.0039437,            0.042444
                  88,            0.028101,            0.012844,           0.0016735,             0.93095,                 0.9,             0.87138,             0.62518,            0.023301,           0.0039919,           0.0021983,           0.0039455,           0.0039455,            0.041745
                  89,            0.034535,               0.013,           0.0018677,             0.96293,             0.86667,             0.90719,             0.71893,            0.019987,           0.0039973,            0.002062,           0.0039461,           0.0039461,            0.041046
                  90,            0.033171,            0.012347,           0.0017227,             0.84374,             0.89991,             0.85404,             0.64075,             0.02353,           0.0039961,           0.0019465,           0.0039457,           0.0039457,            0.040346
                  91,            0.036207,            0.011789,           0.0015651,             0.96552,             0.93332,             0.91363,             0.70167,            0.026369,           0.0039886,           0.0019514,           0.0039442,           0.0039442,            0.039644
                  92,            0.039002,            0.013055,           0.0018454,             0.96296,             0.86658,             0.91424,             0.61034,            0.019954,           0.0037704,           0.0018201,           0.0039416,           0.0039416,            0.038942
                  93,             0.02927,            0.010432,           0.0017598,              0.8744,             0.93333,             0.91921,             0.74621,            0.022105,           0.0036786,           0.0016731,           0.0039379,           0.0039379,            0.038238
                  94,            0.027654,            0.012355,           0.0015871,             0.96427,             0.89965,             0.92848,             0.68931,            0.020222,           0.0036733,           0.0015478,           0.0039332,           0.0039332,            0.037533
                  95,            0.036342,            0.013074,           0.0014443,             0.93329,             0.93333,             0.92778,               0.766,            0.019912,           0.0036522,           0.0015359,           0.0039274,           0.0039274,            0.036827
                  96,            0.034053,             0.01223,            0.001614,             0.93331,             0.93333,              0.9196,             0.76057,            0.017625,           0.0036726,           0.0016581,           0.0039206,           0.0039206,            0.036121
                  97,            0.032083,            0.012226,            0.001491,             0.90321,             0.93321,             0.91819,             0.61466,            0.022893,           0.0037599,           0.0016449,           0.0039127,           0.0039127,            0.035413
                  98,            0.034664,            0.012467,           0.0014529,             0.96551,             0.93327,             0.91952,             0.76303,            0.019967,           0.0037495,           0.0016353,           0.0039038,           0.0039038,            0.034704
                  99,            0.037015,            0.011816,           0.0015975,             0.93323,             0.93333,             0.92025,             0.75033,            0.018312,           0.0037916,           0.0017403,           0.0038939,           0.0038939,            0.033994
                 100,            0.033869,            0.011869,           0.0014532,              0.9333,             0.93333,             0.92176,             0.75612,             0.02047,           0.0038558,           0.0016982,            0.003883,            0.003883,            0.033283
                 101,            0.031802,            0.011588,           0.0014602,             0.90322,              0.9333,             0.92201,             0.66714,            0.017607,           0.0039269,           0.0017008,           0.0038711,           0.0038711,            0.032571
                 102,            0.026803,            0.011436,           0.0013798,             0.84834,             0.93333,             0.87965,             0.58369,            0.020889,           0.0039651,           0.0016929,           0.0038582,           0.0038582,            0.031858
                 103,            0.032478,             0.01276,           0.0015734,             0.93333,             0.93329,              0.9212,              0.7548,            0.016494,           0.0037261,           0.0016384,           0.0038444,           0.0038444,            0.031144
                 104,            0.028028,            0.011439,            0.001468,             0.93333,             0.93332,             0.92632,             0.76573,             0.02014,           0.0037573,           0.0016265,           0.0038296,           0.0038296,             0.03043
                 105,            0.029743,            0.012004,            0.001476,             0.90314,             0.93333,             0.92359,             0.75719,            0.018455,           0.0036558,           0.0016489,           0.0038139,           0.0038139,            0.029714
                 106,            0.031162,              0.0115,           0.0015708,             0.90322,             0.93333,             0.92436,             0.71627,            0.020103,           0.0038353,            0.001554,           0.0037972,           0.0037972,            0.028997
                 107,            0.026947,            0.011847,           0.0013491,             0.96428,             0.89992,             0.93112,             0.77399,            0.018763,           0.0038564,           0.0014925,           0.0037797,           0.0037797,             0.02828
